#{"t_start": 1778371200.233627, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.385348,17,18.149162
-0.612198,26,18.176219
-0.251623,23,18.197731
0.929555,13,18.210794
1.849609,5,18.2143
-2.105107,37,18.249871
0.256616,18,18.268875
-2.064847,37,18.306521
-0.898942,28,18.33065
-0.052719,21,18.354093
-3.768271,51,18.406858
-1.325396,31,18.438427
1.363962,9,18.445427
0.764223,14,18.457481
0.694051,15,18.472488
-1.208277,31,18.494997
-0.255283,23,18.513154
1.128459,11,18.523317
-1.285137,31,18.545458
-2.584699,43,18.58046
-2.980609,44,18.620047
0.256616,18,18.637122
0.5214,16,18.653122
0.624512,15,18.669187
-2.451675,41,18.703836
-0.953841,28,18.727071
-1.288797,31,18.760218
-1.895855,36,18.79873
1.374942,9,18.808233
0.396328,17,18.82681
1.481714,8,18.83481
1.621426,7,18.840814
1.124799,11,18.85281
-1.50966,33,18.878884
1.603126,7,18.888388
-1.141765,30,18.920639
0.760563,14,18.932708
1.110159,11,18.944796
0.815463,14,18.956794
1.24255,10,18.968798
-1.064273,29,18.997302
0.52506,16,19.016818
0.054053,20,19.032889
-1.343696,31,19.058953
0.204744,19,19.077956
1.599466,7,19.08346
0.006473,20,19.104964
0.300536,18,19.12843
-0.174131,22,19.15043
0.789843,14,19.16651
-2.009947,37,19.20359
1.135778,11,19.213591
0.285896,18,19.22517
-2.704845,42,19.271758
0.900275,13,19.284353
-4.87991,61,19.333922
-0.163151,22,19.356068
0.300536,18,19.368077
-1.067933,29,19.395582
-0.317503,23,19.416089
-0.438914,24,19.440158
1.393242,9,19.452158
0.889295,13,19.464231
1.481714,8,19.473232
-0.056379,21,19.492737
-1.51698,33,19.521862
0.650131,15,19.537862
-2.042887,37,19.576929
-0.284563,23,19.595439
1.389582,9,19.601443
-0.427934,24,19.619143
1.606786,7,19.626208
-6.413078,72,19.686355
1.25353,10,19.693355
-0.199751,22,19.706969
-2.480954,41,19.749094
0.690391,15,19.764222
1.500014,8,19.771225
0.153505,19,19.782734
1.492694,8,19.794733
