#{"t_start": 1777558614.22294, "env_id": "LunarLander-v3"}
r,l,t
-241.395595,108,15.9264
-54.22525,91,15.968485
-97.490038,65,15.990613
-102.334818,109,16.032664
-97.588702,97,16.079716
-165.412235,104,16.118804
-66.905313,77,16.148105
-79.84944,90,16.203178
-81.265843,88,16.238238
-118.62554,115,16.287364
-92.86979,112,16.339423
-137.137273,73,16.383424
-67.797671,92,16.419534
-336.69433,89,16.463569
-97.449689,91,16.509633
-113.215836,92,16.562766
-77.388035,78,16.590766
-112.64088,94,16.64085
-101.217445,73,16.68295
-85.74274,61,16.718066
-87.706318,94,16.772301
-79.586765,67,16.7993
-38.492523,145,16.869616
-102.73629,91,16.921615
-305.461815,144,16.98291
-270.561461,129,17.056909
-119.677611,96,17.111086
-86.543763,66,17.136086
-81.904789,92,17.189086
-105.734682,84,17.233162
-86.568205,68,17.261351
-89.652463,103,17.319579
-93.9226,65,17.351578
-72.284229,85,17.386616
-17.553099,90,17.434813
-158.802338,101,17.496083
-82.750843,82,17.523083
-38.240171,64,17.547083
-190.644501,123,17.60121
-125.760764,119,17.652262
-113.976377,84,17.700432
-90.005203,90,17.734431
-92.599631,99,17.770582
-99.598101,90,17.802644
-95.302115,62,17.837644
-80.916433,110,17.900644
-94.372575,115,17.958936
-144.109138,129,18.025048
-78.878598,71,18.065048
-112.117804,93,18.104132
-93.376162,94,18.159186
-70.263198,65,18.183186
-234.798495,112,18.237243
-102.718207,81,18.284307
-56.855933,98,18.343376
-89.087771,75,18.389434
-84.38548,82,18.42049
-89.357736,81,18.458996
-87.176515,68,18.492603
-139.360391,83,18.532109
-49.982541,67,18.573119
-84.265516,94,18.616671
-88.278679,107,18.666798
-104.634939,95,18.725916
-97.200063,79,18.764071
-105.688658,87,18.818119
-92.170139,115,18.8859
-15.620823,126,18.943903
-53.069881,134,18.988971
-57.744102,104,19.049967
-128.579527,87,19.082138
-60.619976,70,19.11717
-1.631845,89,19.166235
-77.379285,102,19.206285
-44.09708,80,19.236284
-89.034106,78,19.272638
-46.947857,138,19.352759
-122.35296,98,19.398981
-126.087541,71,19.439037
-49.194973,69,19.480089
-51.051963,76,19.525253
-126.868456,109,19.579253
-87.132636,85,19.622253
-85.802218,73,19.663253
-58.806773,67,19.696253
-93.410545,100,19.752566
-118.51079,107,19.805564
-43.875285,129,19.86061
-101.18983,117,19.907659
-106.716199,76,19.945785
-86.312882,90,19.994132
-105.768656,68,20.03319
-139.634138,78,20.067189
-128.758074,96,20.108253
-125.34198,115,20.15645
-143.083183,77,20.185503
-74.325523,104,20.247503
-93.035982,70,20.276675
-52.992618,97,20.316743
-82.937842,70,20.360808
-47.106956,103,20.418888
-121.114396,105,20.470044
-40.50749,131,20.526155
-109.704598,91,20.581293
-92.351073,82,20.619343
