#{"t_start": 1777563099.7796097, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.115,15,8.869924
0.528,8,8.878974
-0.121,19,8.897973
0.056,16,8.913016
0.469,9,8.921016
-0.239,21,8.940061
0.233,13,8.952111
-0.416,24,8.973152
0.233,13,8.984153
0.41,10,8.990153
0.351,11,8.999152
-0.239,21,9.012152
0.292,12,9.02132
-0.003,17,9.032443
0.469,9,9.042443
0.115,15,9.05157
0.233,13,9.061615
0.115,15,9.071614
-0.534,26,9.096657
0.587,7,9.101657
0.174,14,9.109659
0.115,15,9.124799
0.233,13,9.136851
-0.357,23,9.159898
0.469,9,9.168012
-0.298,22,9.194056
0.056,16,9.208056
0.056,16,9.221056
0.646,6,9.226056
0.233,13,9.238236
0.646,6,9.243236
-0.593,27,9.266526
-0.357,23,9.285648
-0.652,28,9.314647
-0.357,23,9.333773
0.528,8,9.339774
0.233,13,9.347879
0.115,15,9.358879
-0.298,22,9.374052
0.705,5,9.379209
0.469,9,9.387208
0.056,16,9.402207
0.528,8,9.413281
-0.888,32,9.43528
0.115,15,9.448404
0.292,12,9.459405
0.233,13,9.471514
-0.18,20,9.490658
0.233,13,9.503658
0.41,10,9.517812
-0.239,21,9.537812
0.351,11,9.549867
-0.829,31,9.579138
-0.416,24,9.602138
-0.239,21,9.617301
0.646,6,9.620301
0.528,8,9.628821
0.469,9,9.638859
0.528,8,9.643859
0.41,10,9.649858
0.292,12,9.658858
-1.124,36,9.686956
-0.062,18,9.704957
0.41,10,9.714068
-0.711,29,9.745219
-0.121,19,9.763218
-0.121,19,9.777218
0.587,7,9.782289
0.469,9,9.789288
-1.065,35,9.813337
-0.475,25,9.828489
-0.475,25,9.853607
0.705,5,9.858607
0.292,12,9.867607
0.528,8,9.872606
-0.652,28,9.891755
-0.003,17,9.906754
0.292,12,9.919814
-0.18,20,9.934896
0.469,9,9.939896
0.587,7,9.945966
0.41,10,9.95496
0.646,6,9.965018
0.115,15,9.978016
0.174,14,9.994017
-0.062,18,10.010016
-0.062,18,10.029229
0.705,5,10.03223
0.528,8,10.03723
0.233,13,10.048346
0.115,15,10.060345
0.469,9,10.066395
0.646,6,10.076394
-0.416,24,10.09944
-0.18,20,10.118595
0.174,14,10.130752
0.705,5,10.137751
0.705,5,10.142751
0.41,10,10.151927
0.528,8,10.159927
0.646,6,10.165066
-2.186,54,10.218291
0.351,11,10.228364
-0.298,22,10.247422
0.115,15,10.261486
0.469,9,10.272483
0.115,15,10.285545
0.115,15,10.305016
0.41,10,10.317016
-0.239,21,10.333085
0.646,6,10.336085
0.233,13,10.346144
-1.124,36,10.370224
0.469,9,10.376223
0.292,12,10.384291
-0.239,21,10.39929
0.587,7,10.41129
0.587,7,10.41929
-0.18,20,10.439349
-1.006,34,10.469482
-2.658,62,10.520727
-1.655,45,10.550792
0.056,16,10.560787
0.351,11,10.569848
0.174,14,10.579107
0.587,7,10.585107
0.292,12,10.593611
-1.006,34,10.615201
0.469,9,10.625193
0.233,13,10.635774
-0.062,18,10.646772
0.587,7,10.652772
0.587,7,10.659772
-0.239,21,10.678992
0.41,10,10.690498
-0.239,21,10.709005
-0.652,28,10.739096
0.174,14,10.747097
0.351,11,10.755096
0.351,11,10.763143
-0.298,22,10.777142
-1.36,40,10.803255
-0.239,21,10.817415
0.292,12,10.824414
-0.652,28,10.841581
0.587,7,10.849734
0.174,14,10.862734
0.469,9,10.868734
0.705,5,10.871734
0.41,10,10.880797
-0.298,22,10.900795
0.174,14,10.915914
0.646,6,10.920915
0.351,11,10.932103
0.233,13,10.941102
0.528,8,10.946216
0.41,10,10.959215
-0.416,24,10.975363
0.41,10,10.982363
-0.593,27,11.001762
0.174,14,11.011763
0.292,12,11.02283
0.174,14,11.035879
-0.711,29,11.066981
-0.18,20,11.083979
0.115,15,11.093979
0.587,7,11.101979
0.469,9,11.109979
0.233,13,11.122025
0.174,14,11.137136
-0.239,21,11.157185
0.587,7,11.165226
-0.18,20,11.187372
-0.18,20,11.207371
0.174,14,11.219456
0.292,12,11.23257
0.115,15,11.246622
-0.18,20,11.25862
0.469,9,11.265674
0.292,12,11.275674
0.646,6,11.28072
0.528,8,11.28972
0.705,5,11.293723
0.41,10,11.301721
0.469,9,11.310719
0.41,10,11.319767
0.056,16,11.335888
0.233,13,11.351002
0.705,5,11.355002
0.587,7,11.362113
-0.003,17,11.378241
0.469,9,11.387239
0.056,16,11.403239
-0.003,17,11.41324
0.292,12,11.42224
0.528,8,11.42724
0.469,9,11.43524
0.469,9,11.441239
0.351,11,11.449364
0.351,11,11.455364
0.528,8,11.461416
0.646,6,11.469416
0.351,11,11.479643
0.705,5,11.484643
0.705,5,11.489643
0.587,7,11.497642
0.587,7,11.505642
0.351,11,11.517693
0.705,5,11.525692
0.41,10,11.533692
0.469,9,11.542691
0.528,8,11.550746
0.233,13,11.559745
0.233,13,11.567866
0.351,11,11.576866
0.469,9,11.585025
-0.062,18,11.598025
0.587,7,11.603024
0.41,10,11.613445
0.646,6,11.621952
0.351,11,11.631952
-0.475,25,11.646116
0.115,15,11.657115
0.292,12,11.665327
0.351,11,11.674327
0.351,11,11.683552
-0.121,19,11.702551
0.174,14,11.716727
-0.062,18,11.736902
0.351,11,11.748902
0.115,15,11.758902
0.705,5,11.762967
0.646,6,11.766967
0.646,6,11.771967
0.233,13,11.780022
0.469,9,11.786022
-0.121,19,11.803021
0.292,12,11.81514
0.233,13,11.827141
0.174,14,11.846241
0.469,9,11.851239
0.587,7,11.857238
0.469,9,11.863238
0.705,5,11.867238
0.705,5,11.872238
0.351,11,11.879292
0.41,10,11.887295
-0.003,17,11.899295
0.587,7,11.904293
0.469,9,11.911294
0.41,10,11.921349
0.292,12,11.933394
0.587,7,11.938394
0.646,6,11.946553
0.705,5,11.953553
0.351,11,11.963552
-0.947,33,11.985614
0.528,8,11.991614
0.41,10,11.999614
0.233,13,12.007614
0.587,7,12.013741
0.587,7,12.017741
0.41,10,12.024741
0.469,9,12.0308
0.528,8,12.0368
0.587,7,12.0418
0.469,9,12.047875
0.351,11,12.056875
-1.242,38,12.100937
-0.003,17,12.120023
0.174,14,12.132134
-0.829,31,12.157284
-0.239,21,12.169493
0.528,8,12.180487
0.292,12,12.189487
0.646,6,12.194488
0.351,11,12.201488
0.469,9,12.208488
-1.714,46,12.254009
0.351,11,12.265082
