#{"t_start": 1778308744.5051532, "env_id": "LunarLander-v3"}
r,l,t
-75.274506,77,17.470053
-155.258797,106,17.534122
-57.53517,90,17.585697
-176.812258,89,17.640879
-102.625178,96,17.696959
-197.912738,89,17.742857
-76.496541,65,17.78095
-127.446272,88,17.835038
-113.483477,101,17.885638
-201.13113,91,17.932636
-78.343853,89,17.985558
-104.068559,105,18.057242
-1.398929,112,18.136074
-114.504083,112,18.201047
-124.968553,130,18.26671
-100.491958,100,18.324548
-102.041881,107,18.378086
-126.915364,109,18.447265
-373.292826,128,18.519589
-109.801887,100,18.582978
-124.975728,95,18.646227
-75.781869,119,18.71382
-206.756334,98,18.778697
-76.889619,62,18.812381
-98.953854,93,18.86672
-90.746753,87,18.923869
-273.197661,105,18.990478
-52.668577,68,19.028969
-121.968854,96,19.097097
-63.910343,125,19.184048
-117.342774,106,19.258453
-86.439422,98,19.333095
-123.019052,81,19.393838
-192.563864,114,19.464832
-115.575271,72,19.498028
-91.014758,68,19.544083
-110.991388,140,19.628983
-107.524394,76,19.67648
-65.803096,69,19.706634
-131.894586,77,19.754254
-49.590569,72,19.804085
-74.193982,84,19.861021
-91.936399,113,19.924129
-129.16809,75,19.963697
-131.855842,102,20.014863
-197.407,74,20.063405
-126.296039,65,20.108471
-132.445696,88,20.149756
-209.31359,110,20.226333
-179.861974,114,20.29687
-66.659648,69,20.338679
-101.476544,72,20.372807
-162.905508,130,20.460903
-64.547084,80,20.514515
-323.199261,121,20.617396
-162.073702,103,20.684071
-106.411556,93,20.754829
-161.72294,79,20.805714
-42.398439,73,20.847797
-84.064652,96,20.893124
-28.241638,97,20.954453
-73.554617,126,21.021857
-131.52737,124,21.103661
-60.006973,89,21.170548
-90.690273,84,21.226084
-106.455362,92,21.284217
-394.802046,105,21.346148
-83.771794,68,21.388073
-348.430731,82,21.439674
-118.784926,94,21.492429
-136.860842,77,21.545219
-399.083292,83,21.603379
-145.995859,93,21.655873
-112.87516,97,21.720895
-98.30982,107,21.776187
-67.44372,79,21.829774
-282.531466,127,21.905437
-279.829095,113,21.98316
-294.72746,67,22.017193
-112.815679,86,22.075489
-104.02513,140,22.163146
-121.563056,95,22.223089
-25.593864,103,22.295234
-62.798038,71,22.33307
-78.612663,104,22.387716
-91.380095,94,22.455398
-109.093526,76,22.513751
-82.50004,134,22.594654
-82.144133,89,22.642715
-97.277967,83,22.70085
-90.735997,71,22.744457
-113.527858,82,22.807397
-48.693396,114,22.870445
-88.496307,108,22.945304
-163.778539,65,22.981909
-96.121587,92,23.037638
-74.996451,76,23.088462
-77.776023,93,23.153643
-105.961991,78,23.200011
-184.385715,107,23.276121
-122.622154,92,23.343527
-109.695472,78,23.387706
-133.926462,80,23.441841
-41.225965,66,23.485438
-105.864037,81,23.538227
-91.96568,119,23.620293
-112.653764,87,23.659893
-160.37565,114,23.731315
-106.391014,78,23.783852
-166.883495,128,23.853709
-172.547051,98,23.918445
-84.421435,87,23.975084
-166.15006,127,24.068902
-109.640265,104,24.140657
-77.751565,59,24.174815
-177.120677,113,24.247218
-99.390391,97,24.311482
-91.668779,93,24.38092
-117.055159,114,24.459795
-85.334064,60,24.499831
-179.570613,131,24.576749
-60.73276,121,24.637559
-108.594029,81,24.694653
-43.816358,65,24.728948
-89.422522,89,24.787464
-123.391615,101,24.857311
-90.942933,81,24.898406
-30.287847,121,24.970957
-80.521697,58,25.013823
-174.728773,71,25.061953
-173.214711,106,25.12858
-91.647583,99,25.1897
-128.456243,101,25.244083
-97.769288,93,25.298558
-213.647709,97,25.352237
-80.024278,69,25.395307
-77.916534,137,25.480115
-108.509077,66,25.516191
