#{"t_start": 1778977471.546945, "env_id": "LunarLander-v3"}
r,l,t
19.396306,1000,115.641924
16.434948,1000,116.222469
-2.819033,1000,116.833481
16.386686,1000,117.489603
3.881215,1000,118.096186
19.696031,1000,118.683771
-139.671699,369,118.870616
-6.999714,1000,119.433891
-36.002595,1000,120.001276
14.767233,1000,120.570938
-54.434082,1000,121.115277
-0.196173,1000,121.649075
4.833097,1000,122.258152
-11.91746,1000,122.844218
-34.242589,1000,123.387349
-37.130583,1000,123.914003
-7.375503,1000,124.534839
-16.694781,1000,125.138186
-8.938382,1000,125.856376
21.772503,1000,126.633128
-2.943209,1000,127.391177
-6.646313,1000,128.153769
-6.977138,1000,128.918308
14.531585,1000,129.604595
22.025087,1000,130.305156
-23.357549,1000,130.992275
-7.909647,1000,131.643704
12.513722,1000,132.337109
-12.228445,1000,133.022141
7.367573,1000,133.692648
-41.714081,1000,134.271443
16.280071,1000,134.844308
-2.58164,1000,135.460033
28.641451,1000,136.082051
19.308152,1000,136.676006
4.407204,1000,137.305074
33.771173,1000,137.930379
23.677759,1000,138.499919
13.615977,1000,139.115376
18.123672,1000,139.815602
-0.375256,1000,140.495668
-6.747733,1000,141.166943
-15.013814,1000,141.796059
41.665271,1000,142.466488
9.909388,1000,143.045878
27.831477,1000,143.695854
-31.101866,1000,144.328517
-28.525751,1000,144.933591
-28.829934,1000,145.546813
-31.345236,1000,146.148853
-33.318749,1000,146.726241
-24.004147,1000,147.374925
7.169495,1000,147.923851
-19.443809,1000,148.548588
-14.829535,1000,149.160132
-20.73843,1000,149.839334
-31.41131,1000,150.587502
-25.001053,1000,151.334429
-10.661487,1000,151.993927
-17.043152,1000,152.661382
288.348577,503,153.025752
15.898752,1000,153.685264
4.095951,1000,154.331443
-37.29451,1000,155.085804
-43.737505,1000,155.691866
12.050843,1000,156.334458
-24.057699,1000,156.991395
11.344635,1000,157.715402
-4.442059,1000,158.365527
-16.244009,1000,159.030272
9.280097,1000,159.761044
-13.597844,1000,160.422919
21.594461,1000,161.015243
-48.416689,1000,161.645508
-16.375274,1000,162.254245
0.043389,1000,162.804118
6.093461,1000,163.350837
9.992558,1000,163.893254
-9.203483,1000,164.47551
-15.386128,1000,165.062698
13.071456,1000,165.592681
28.815756,1000,166.181721
3.876919,1000,166.802191
-17.489334,1000,167.397693
-0.863504,1000,167.959532
-27.476248,1000,168.607784
13.720607,1000,169.20881
