#{"t_start": 1777565293.870536, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
-3.9625,100,22.564255
-3.8,100,22.642446
-3.8725,100,22.740789
-4.125,100,22.825038
-1.363,62,22.885326
-4.19,100,22.97947
-0.259,41,23.009777
-4.3525,100,23.103284
-3.456,99,23.193943
-3.7675,100,23.284225
-4.1475,100,23.381657
-4.0575,100,23.46603
-3.184,96,23.534154
-4.135,100,23.611449
-4.015,100,23.705897
-1.3845,63,23.753145
-2.935,90,23.832707
-3.96,100,23.918188
-3.835,100,24.003726
0.641,26,24.028729
-4.0,100,24.115927
-4.01,100,24.186285
-3.8875,100,24.269538
-3.8325,100,24.359065
-3.7625,100,24.450597
-3.9875,100,24.544733
-3.8025,100,24.627842
0.272,32,24.659995
-4.0475,100,24.746355
-0.1385,39,24.78674
-0.7865,51,24.842793
-3.8425,100,24.946036
-4.185,100,25.046516
-3.92,100,25.136671
-1.3205,62,25.189946
-3.8325,100,25.27105
-3.775,100,25.366483
-3.7325,100,25.445716
-4.14,100,25.535072
0.753,23,25.558232
-4.075,100,25.633358
-1.246,59,25.67762
-4.06,100,25.752913
-3.9,100,25.830193
-1.609,66,25.886602
-3.925,100,25.991196
1.411,11,26.001324
0.1185,36,26.036853
-3.71,100,26.123089
1.19,15,26.136091
-3.8675,100,26.211388
-4.1075,100,26.301634
-3.8175,100,26.38984
-3.7825,100,26.484137
-1.952,73,26.553148
-4.1325,100,26.646038
-4.335,100,26.74143
-3.87,100,26.829753
-3.7925,100,26.929302
-4.075,100,27.004815
-4.075,100,27.082089
-3.8725,100,27.162254
-3.85,100,27.264671
1.3595,12,27.275727
-3.975,100,27.37294
-4.1175,100,27.459312
-0.564,46,27.490311
-3.755,100,27.582683
-2.701,84,27.644876
-0.3795,43,27.684117
-3.8325,100,27.769439
-3.8625,100,27.84972
0.3875,30,27.87585
-2.6635,84,27.96047
-3.87,100,28.051044
-2.2255,77,28.126436
-4.05,100,28.225803
-3.8975,100,28.310159
-3.8875,100,28.411283
-3.8425,100,28.497481
0.7555,23,28.513618
-3.7775,100,28.604869
-3.905,100,28.694205
-3.9425,100,28.791363
0.827,22,28.806362
-3.8175,100,28.88158
0.502,27,28.908633
-3.0235,94,28.982924
-4.07,100,29.084234
-3.925,100,29.155422
-4.065,100,29.255109
-3.9825,100,29.322419
-2.2295,78,29.382681
-3.88,100,29.473952
-4.12,100,29.575278
-3.8625,100,29.671283
1.445,10,29.67828
1.175,15,29.692277
-3.865,100,29.767699
-3.9525,100,29.876095
-4.1475,100,29.977647
-2.543,82,30.051821
-4.16,100,30.144791
-4.0875,100,30.228041
-3.82,100,30.312332
1.224,14,30.330335
-4.155,100,30.413627
-4.4075,100,30.513757
-4.0975,100,30.598068
-4.47,100,30.696574
-3.755,100,30.785737
-3.895,100,30.878195
-4.21,100,30.961396
-3.7775,100,31.060656
-3.95,100,31.15294
-4.1975,100,31.247118
-4.0975,100,31.325664
1.028,18,31.340664
-2.021,74,31.410897
-3.89,100,31.490233
-4.0375,100,31.591499
-1.781,69,31.657942
-3.89,100,31.749252
-4.1175,100,31.825503
-2.3895,78,31.888899
-3.885,100,31.964023
-3.9375,100,32.059727
-3.8975,100,32.146122
-3.9325,100,32.235375
-3.915,100,32.321149
-3.855,100,32.409451
-4.1275,100,32.489236
-3.6725,100,32.588621
1.1775,15,32.603738
-3.7875,100,32.686836
-0.3745,43,32.728953
-3.9375,100,32.810077
-4.09,100,32.898428
-3.8975,100,32.992642
-4.165,100,33.060851
-3.91,100,33.159683
-3.9675,100,33.246963
-4.1075,100,33.336348
-2.002,73,33.400165
-3.895,100,33.498544
-3.9275,100,33.592775
-3.9325,100,33.685419
-3.8875,100,33.766828
-2.14,75,33.820875
-3.83,100,33.920232
-3.8875,100,34.002723
-4.1875,100,34.101295
0.1425,35,34.138359
-4.1375,100,34.224619
-3.895,100,34.300978
0.188,33,34.328978
-1.687,68,34.399159
0.321,31,34.433158
-3.9425,100,34.520338
-3.94,100,34.611486
-4.31,100,34.70577
-2.1825,75,34.782126
-4.1825,100,34.861536
-3.8875,100,34.962784
-3.9125,100,35.046964
-1.217,58,35.104204
1.0555,18,35.124203
-4.0975,100,35.2066
-4.21,100,35.284787
-3.845,100,35.388281
-2.435,80,35.462334
-4.015,100,35.556716
-3.855,100,35.634971
-1.6455,67,35.695086
-4.1125,100,35.792406
-1.8835,69,35.868684
-3.9575,100,35.962071
0.1075,35,35.995193
-3.885,100,36.078271
0.291,31,36.109328
-3.9025,100,36.197606
