#{"t_start": 1777526949.6634176, "env_id": "CartPole-v1"}
r,l,t
29.0,29,27.888209
19.0,19,27.890213
108.0,108,28.615597
104.0,104,28.634357
83.0,83,28.643466
80.0,80,29.251028
23.0,23,29.256423
11.0,11,29.258854
23.0,23,29.264853
26.0,26,29.269853
15.0,15,29.273012
73.0,73,29.287357
90.0,90,29.974638
81.0,81,29.993618
106.0,106,30.014077
14.0,14,30.769459
35.0,35,30.775718
21.0,21,30.779661
13.0,13,30.782761
97.0,97,30.80623
37.0,37,30.81176
107.0,107,31.4088
117.0,117,31.431392
115.0,115,32.183324
15.0,15,32.183324
12.0,12,32.183324
27.0,27,32.190346
16.0,16,32.192344
14.0,14,32.194846
15.0,15,32.195497
15.0,15,32.195497
14.0,14,32.195497
38.0,38,32.203101
102.0,102,32.886095
31.0,31,32.892531
20.0,20,32.896062
85.0,85,32.914218
33.0,33,32.917113
59.0,59,33.675596
15.0,15,33.682357
60.0,60,33.687542
17.0,17,33.687542
180.0,180,34.399945
11.0,11,34.401945
27.0,27,34.407419
11.0,11,34.409477
51.0,51,34.417676
27.0,27,34.424513
22.0,22,34.42782
15.0,15,34.42782
16.0,16,34.433828
50.0,50,35.05825
55.0,55,35.070351
34.0,34,35.076885
71.0,71,35.090556
117.0,117,35.836931
49.0,49,35.84293
110.0,110,35.852922
12.0,12,35.852922
106.0,106,36.478423
26.0,26,36.484392
33.0,33,36.491047
30.0,30,36.496477
100.0,100,36.514254
17.0,17,37.015766
93.0,93,37.035981
95.0,95,37.060529
93.0,93,37.80226
113.0,113,37.816737
99.0,99,37.824619
131.0,131,38.57678
131.0,131,38.60716
153.0,153,39.232579
240.0,240,39.978188
246.0,246,40.647748
42.0,42,40.656041
23.0,23,40.659961
12.0,12,40.663728
101.0,101,41.276853
25.0,25,41.276853
16.0,16,41.284468
26.0,26,41.291655
112.0,112,41.311734
108.0,108,42.002584
14.0,14,42.005501
42.0,42,42.014677
43.0,43,42.022581
16.0,16,42.022581
99.0,99,42.744604
35.0,35,42.749754
27.0,27,42.752781
95.0,95,42.764984
47.0,47,42.77481
41.0,41,43.466755
15.0,15,43.472924
95.0,95,43.497924
90.0,90,43.509007
94.0,94,44.234954
90.0,90,44.256843
94.0,94,44.277459
93.0,93,45.074512
96.0,96,45.097335
96.0,96,45.687273
105.0,105,45.713166
90.0,90,45.733662
127.0,127,46.425974
14.0,14,46.427164
18.0,18,46.427164
154.0,154,47.097753
123.0,123,47.124581
131.0,131,47.739772
32.0,32,47.748418
13.0,13,47.751012
115.0,115,47.776334
13.0,13,47.779725
117.0,117,48.393503
96.0,96,48.409791
116.0,116,49.227782
155.0,155,49.249097
162.0,162,50.024728
161.0,161,50.061143
139.0,139,50.748374
92.0,92,50.774535
14.0,14,50.778624
99.0,99,51.575313
129.0,129,51.593728
14.0,14,51.595922
124.0,124,52.264042
36.0,36,52.269238
25.0,25,52.274934
95.0,95,52.288331
17.0,17,52.29033
173.0,173,53.011204
98.0,98,53.031602
207.0,207,53.794676
121.0,121,54.500571
289.0,289,55.187335
128.0,128,55.20665
156.0,156,55.739263
108.0,108,55.760337
147.0,147,56.432843
131.0,131,57.15846
363.0,363,57.784649
200.0,200,58.499769
95.0,95,58.524619
94.0,94,58.536011
137.0,137,59.151356
224.0,224,59.855737
174.0,174,60.604313
36.0,36,60.609576
91.0,91,60.622449
55.0,55,60.630166
15.0,15,60.633164
35.0,35,60.638165
90.0,90,61.37466
32.0,32,61.3819
26.0,26,61.38674
18.0,18,61.392834
24.0,24,61.398873
90.0,90,62.062155
220.0,220,62.093019
184.0,184,62.717938
272.0,272,63.430434
89.0,89,64.03621
237.0,237,64.068247
330.0,330,65.477882
105.0,105,65.494315
100.0,100,66.323817
137.0,137,66.355706
101.0,101,66.383512
113.0,113,67.105761
93.0,93,67.118602
90.0,90,67.787216
150.0,150,67.832386
224.0,224,68.63685
15.0,15,68.642313
78.0,78,68.653766
71.0,71,69.341399
95.0,95,69.355168
23.0,23,69.3581
90.0,90,70.168382
97.0,97,70.193546
97.0,97,70.216163
95.0,95,70.855692
90.0,90,70.875177
95.0,95,70.899356
99.0,99,71.572479
98.0,98,71.600383
101.0,101,72.424528
164.0,164,72.458253
147.0,147,73.214508
93.0,93,73.233589
91.0,91,74.011299
107.0,107,74.03581
119.0,119,74.065691
113.0,113,74.867129
111.0,111,74.902232
108.0,108,75.515575
95.0,95,75.540398
91.0,91,75.56228
34.0,34,76.23013
41.0,41,76.237841
92.0,92,76.263012
98.0,98,76.288294
182.0,182,76.917219
153.0,153,77.666513
110.0,110,77.691539
105.0,105,78.422617
242.0,242,79.215734
98.0,98,79.241032
95.0,95,79.268817
132.0,132,79.968911
87.0,87,79.975122
88.0,88,79.998863
95.0,95,80.712834
18.0,18,80.718223
14.0,14,80.721506
79.0,79,80.732718
33.0,33,80.734718
21.0,21,81.499489
88.0,88,81.519339
91.0,91,81.54771
92.0,92,82.365065
86.0,86,82.389431
27.0,27,82.39343
21.0,21,82.39547
89.0,89,82.419186
148.0,148,83.129069
160.0,160,83.85224
88.0,88,83.869628
30.0,30,83.875216
90.0,90,83.899488
92.0,92,84.629688
98.0,98,84.65218
92.0,92,85.380233
97.0,97,85.40205
103.0,103,85.416141
128.0,128,86.063808
144.0,144,86.095965
140.0,140,86.775291
121.0,121,86.787788
143.0,143,87.41385
139.0,139,88.197828
101.0,101,88.218798
120.0,120,88.253339
33.0,33,89.025735
18.0,18,89.029858
32.0,32,89.038275
15.0,15,89.038275
42.0,42,89.053068
40.0,40,89.062145
32.0,32,89.070373
23.0,23,89.075373
10.0,10,89.078373
111.0,111,89.829303
21.0,21,89.832845
134.0,134,89.870981
228.0,228,90.55725
165.0,165,91.297858
128.0,128,91.332058
101.0,101,92.143872
21.0,21,92.149023
93.0,93,92.171387
36.0,36,92.180289
119.0,119,93.010466
113.0,113,93.041724
175.0,175,93.873248
92.0,92,93.885445
11.0,11,93.891084
91.0,91,94.60996
41.0,41,94.619371
92.0,92,94.64542
43.0,43,94.657415
288.0,288,96.222791
116.0,116,96.256765
11.0,11,96.259621
11.0,11,96.262992
111.0,111,97.009338
103.0,103,97.023409
103.0,103,97.033859
94.0,94,97.724988
90.0,90,97.754461
46.0,46,97.767553
90.0,90,98.513938
500.0,500,99.905075
106.0,106,99.931455
108.0,108,99.956604
107.0,107,100.697943
108.0,108,100.725414
117.0,117,101.331111
124.0,124,101.360784
126.0,126,102.017841
126.0,126,102.032537
118.0,118,102.790957
98.0,98,102.804047
99.0,99,102.814888
112.0,112,103.517727
119.0,119,103.534874
272.0,272,104.309435
324.0,324,105.678874
126.0,126,105.696727
126.0,126,106.418313
135.0,135,106.454705
133.0,133,107.140588
140.0,140,107.158443
140.0,140,107.85501
134.0,134,107.880323
146.0,146,108.610864
185.0,185,109.346051
321.0,321,110.040808
163.0,163,110.07886
43.0,43,110.738122
97.0,97,110.767979
103.0,103,110.780649
136.0,136,111.466889
104.0,104,111.49303
126.0,126,112.277251
131.0,131,112.294158
122.0,122,112.931609
133.0,133,112.951061
191.0,191,113.71836
419.0,419,115.088602
28.0,28,115.092603
100.0,100,115.107783
104.0,104,115.754651
26.0,26,115.765229
94.0,94,115.790398
13.0,13,115.792821
100.0,100,116.47052
100.0,100,116.482682
108.0,108,116.499247
105.0,105,117.197583
34.0,34,117.198579
20.0,20,117.204524
34.0,34,117.209657
32.0,32,117.214817
90.0,90,117.932751
500.0,500,119.507793
377.0,377,120.289416
116.0,116,120.306623
85.0,85,121.065991
96.0,96,121.085465
100.0,100,121.730084
102.0,102,121.744547
39.0,39,121.75048
86.0,86,121.754308
96.0,96,122.511868
25.0,25,122.514825
103.0,103,122.534025
14.0,14,122.538135
129.0,129,123.176911
153.0,153,123.222576
500.0,500,124.86068
368.0,368,126.383106
418.0,418,127.216069
440.0,440,128.693478
500.0,500,130.217281
486.0,486,131.712328
500.0,500,133.155238
500.0,500,134.757262
354.0,354,135.635378
166.0,166,136.47786
14.0,14,136.47786
15.0,15,136.484145
500.0,500,137.970519
258.0,258,138.680153
500.0,500,140.144385
94.0,94,140.167933
254.0,254,140.929195
469.0,469,142.442292
500.0,500,143.982339
500.0,500,145.428051
500.0,500,146.951158
500.0,500,148.661412
500.0,500,150.397519
500.0,500,152.106121
500.0,500,153.64904
500.0,500,155.206123
500.0,500,156.810856
500.0,500,158.283035
500.0,500,159.866406
324.0,324,160.605418
500.0,500,162.154037
500.0,500,163.770824
500.0,500,165.360244
466.0,466,166.968458
112.0,112,166.984655
119.0,119,167.623387
500.0,500,168.639314
135.0,135,169.364218
151.0,151,170.232955
133.0,133,170.255948
127.0,127,171.049935
103.0,103,171.075365
117.0,117,171.095164
122.0,122,171.873076
112.0,112,171.898961
117.0,117,172.633236
119.0,119,172.653789
110.0,110,173.33812
120.0,120,173.356266
125.0,125,174.247582
160.0,160,174.293226
500.0,500,176.06783
159.0,159,176.819017
129.0,129,176.850094
135.0,135,177.656935
231.0,231,178.410427
147.0,147,178.439615
154.0,154,179.374356
11.0,11,179.379885
157.0,157,180.310189
325.0,325,181.044203
104.0,104,181.066422
121.0,121,181.998298
183.0,183,182.690378
122.0,122,182.708482
45.0,45,182.719739
500.0,500,184.451864
153.0,153,185.391732
106.0,106,185.406032
45.0,45,185.411138
36.0,36,185.419979
157.0,157,186.23501
240.0,240,187.163282
168.0,168,188.089676
338.0,338,189.01466
250.0,250,189.731336
115.0,115,189.759554
203.0,203,190.635372
125.0,125,191.559631
112.0,112,191.585968
29.0,29,191.594865
116.0,116,192.37485
158.0,158,192.407948
500.0,500,194.124662
128.0,128,195.07256
159.0,159,195.114972
500.0,500,197.091276
440.0,440,199.093988
179.0,179,200.067052
500.0,500,201.636915
298.0,298,202.591357
96.0,96,202.614908
500.0,500,204.294632
93.0,93,205.100706
113.0,113,205.126396
18.0,18,205.132097
117.0,117,206.043082
10.0,10,206.044082
14.0,14,206.046082
13.0,13,206.048391
131.0,131,206.066783
14.0,14,206.066783
24.0,24,206.072402
362.0,362,207.886856
135.0,135,207.908619
372.0,372,209.713642
25.0,25,209.720507
103.0,103,209.744838
20.0,20,209.750054
194.0,194,210.634694
144.0,144,211.611591
500.0,500,213.326624
22.0,22,213.330657
35.0,35,213.339657
120.0,120,213.368454
22.0,22,213.378051
102.0,102,214.192564
104.0,104,214.219941
104.0,104,214.988463
108.0,108,214.996464
31.0,31,215.004521
13.0,13,215.006521
108.0,108,215.904751
148.0,148,215.924334
145.0,145,216.81022
112.0,112,216.822845
181.0,181,217.738581
382.0,382,218.623909
115.0,115,219.488378
107.0,107,219.504752
50.0,50,219.511817
148.0,148,220.405585
132.0,132,221.36161
59.0,59,221.374578
41.0,41,221.383209
93.0,93,221.396365
24.0,24,221.399203
368.0,368,223.082824
16.0,16,223.082824
100.0,100,223.095238
128.0,128,224.078078
132.0,132,224.104266
19.0,19,224.107266
126.0,126,224.957334
134.0,134,224.992252
379.0,379,226.869373
174.0,174,227.645971
26.0,26,227.648971
90.0,90,227.659417
26.0,26,227.665124
13.0,13,227.667124
94.0,94,228.408627
312.0,312,229.194874
121.0,121,229.212414
115.0,115,230.053256
236.0,236,230.896898
21.0,21,230.904586
41.0,41,230.914968
37.0,37,230.923958
21.0,21,230.926809
15.0,15,230.933158
35.0,35,230.939246
13.0,13,230.94508
47.0,47,230.956528
104.0,104,231.908652
16.0,16,231.911726
103.0,103,231.933817
105.0,105,232.902814
101.0,101,232.930125
98.0,98,233.874433
331.0,331,234.631462
201.0,201,235.55548
93.0,93,235.568764
21.0,21,235.571764
58.0,58,235.580125
48.0,48,235.585824
500.0,500,237.537182
500.0,500,239.459788
120.0,120,240.374612
149.0,149,240.410886
500.0,500,242.456703
148.0,148,243.496984
128.0,128,243.527176
107.0,107,244.558138
51.0,51,244.571574
104.0,104,244.596609
112.0,112,245.605759
127.0,127,245.620257
152.0,152,246.346741
169.0,169,247.415809
44.0,44,247.42477
53.0,53,247.431647
103.0,103,247.44553
114.0,114,248.055605
116.0,116,248.073042
281.0,281,248.946245
138.0,138,249.863644
55.0,55,249.876801
213.0,213,250.87773
125.0,125,251.786539
105.0,105,251.802713
271.0,271,252.614424
20.0,20,252.621645
36.0,36,252.630645
35.0,35,252.639357
224.0,224,253.542721
302.0,302,254.63456
290.0,290,256.57301
28.0,28,256.580302
13.0,13,256.583943
36.0,36,256.592108
12.0,12,256.594027
33.0,33,256.599189
34.0,34,256.604297
37.0,37,256.609324
14.0,14,256.611324
24.0,24,256.614554
500.0,500,258.532305
389.0,389,260.404695
500.0,500,262.228745
96.0,96,262.2514
24.0,24,262.25568
226.0,226,263.213073
18.0,18,263.217132
111.0,111,264.163971
131.0,131,264.177832
189.0,189,265.291574
500.0,500,267.295795
436.0,436,269.213556
39.0,39,269.218366
45.0,45,269.225006
500.0,500,271.135803
165.0,165,272.158591
93.0,93,272.172805
89.0,89,272.185508
89.0,89,273.214345
114.0,114,273.230468
126.0,126,274.147779
391.0,391,274.969846
229.0,229,276.025497
150.0,150,276.915133
165.0,165,276.937903
129.0,129,277.863413
18.0,18,277.868437
11.0,11,277.870437
353.0,353,279.001775
116.0,116,279.83895
19.0,19,279.84214
34.0,34,279.847182
96.0,96,279.86065
25.0,25,279.865048
24.0,24,279.865048
97.0,97,280.756877
100.0,100,280.782288
100.0,100,281.805584
18.0,18,281.810597
14.0,14,281.813557
28.0,28,281.820248
18.0,18,281.824547
24.0,24,281.832122
15.0,15,281.835122
20.0,20,281.844807
14.0,14,281.848841
16.0,16,281.852844
29.0,29,281.859887
20.0,20,281.865043
19.0,19,281.870045
16.0,16,282.874372
20.0,20,282.88132
16.0,16,282.88275
19.0,19,282.886206
17.0,17,282.889209
23.0,23,282.892208
22.0,22,282.89546
18.0,18,282.89746
19.0,19,282.898637
33.0,33,282.905538
16.0,16,282.906535
23.0,23,282.910513
131.0,131,283.687346
137.0,137,283.713838
147.0,147,284.627848
136.0,136,285.618073
101.0,101,285.632453
91.0,91,285.640707
85.0,85,286.587008
88.0,88,286.612177
84.0,84,286.635135
14.0,14,286.63728
14.0,14,286.638641
62.0,62,287.262252
60.0,60,287.272263
47.0,47,287.279309
29.0,29,287.284373
88.0,88,288.210576
90.0,90,288.229091
91.0,91,288.250348
73.0,73,289.158948
104.0,104,289.177997
97.0,97,289.191894
59.0,59,289.996132
11.0,11,289.998174
47.0,47,290.00956
57.0,57,290.020874
9.0,9,290.020874
87.0,87,290.045773
29.0,29,290.918233
17.0,17,290.921366
35.0,35,290.924366
26.0,26,290.930781
17.0,17,290.93379
34.0,34,290.938534
34.0,34,290.943692
16.0,16,290.975046
40.0,40,290.985213
12.0,12,290.985769
18.0,18,290.987773
371.0,371,292.953129
21.0,21,292.956129
110.0,110,292.96916
15.0,15,293.770057
41.0,41,293.779058
114.0,114,293.795237
110.0,110,294.866573
500.0,500,296.724307
500.0,500,297.884536
51.0,51,298.539089
106.0,106,298.556168
106.0,106,298.586316
39.0,39,299.615928
500.0,500,301.43257
157.0,157,301.469801
93.0,93,302.384264
96.0,96,302.396434
52.0,52,302.40727
99.0,99,303.379013
59.0,59,303.386943
63.0,63,303.396945
118.0,118,303.427257
23.0,23,304.283158
84.0,84,304.294846
22.0,22,304.295623
41.0,41,304.302476
47.0,47,304.309983
90.0,90,305.235067
500.0,500,307.279711
50.0,50,307.287755
118.0,118,307.304868
145.0,145,308.173388
148.0,148,308.207626
376.0,376,310.209656
132.0,132,310.240387
123.0,123,311.135828
94.0,94,311.159959
88.0,88,312.171497
136.0,136,312.189737
24.0,24,312.193664
20.0,20,312.196666
126.0,126,313.031752
122.0,122,313.05125
174.0,174,313.844682
91.0,91,313.868163
31.0,31,313.873857
362.0,362,315.619493
202.0,202,316.615747
72.0,72,316.636262
57.0,57,316.640457
32.0,32,316.649445
18.0,18,316.652256
35.0,35,316.656904
122.0,122,317.581447
93.0,93,317.604674
94.0,94,318.618762
95.0,95,318.653647
30.0,30,318.660412
16.0,16,318.664275
16.0,16,318.666603
101.0,101,319.618686
116.0,116,319.65112
111.0,111,320.680201
116.0,116,320.712975
111.0,111,320.74012
101.0,101,321.623657
97.0,97,321.641058
21.0,21,321.642058
26.0,26,321.647382
50.0,50,322.385402
51.0,51,322.39937
24.0,24,322.406438
96.0,96,322.427943
39.0,39,322.440918
97.0,97,323.222559
103.0,103,323.239614
103.0,103,324.09625
96.0,96,324.114357
14.0,14,324.114357
91.0,91,324.132304
114.0,114,325.032441
117.0,117,325.063158
106.0,106,325.742499
93.0,93,325.755508
94.0,94,325.76881
100.0,100,326.698308
98.0,98,326.712652
103.0,103,327.741776
171.0,171,327.785828
114.0,114,328.532777
95.0,95,328.55522
101.0,101,328.579426
143.0,143,329.422762
25.0,25,329.428488
103.0,103,330.374944
45.0,45,330.390912
92.0,92,330.41313
96.0,96,330.435233
91.0,91,331.365614
90.0,90,331.378632
90.0,90,332.437622
98.0,98,332.461581
26.0,26,332.47002
104.0,104,332.483716
171.0,171,333.403454
148.0,148,334.19705
20.0,20,334.19705
91.0,91,334.227964
13.0,13,334.231963
91.0,91,334.253246
110.0,110,335.193563
24.0,24,335.200156
113.0,113,335.228144
170.0,170,336.065671
11.0,11,336.074148
123.0,123,337.091313
98.0,98,337.104729
95.0,95,337.127106
220.0,220,338.224821
89.0,89,339.158839
105.0,105,339.185767
107.0,107,339.214739
100.0,100,340.262978
101.0,101,340.275605
83.0,83,341.331819
201.0,201,341.381245
303.0,303,343.373471
29.0,29,343.381157
116.0,116,343.408669
110.0,110,344.425341
500.0,500,345.686389
12.0,12,346.620986
500.0,500,347.664677
173.0,173,348.61656
500.0,500,350.618437
500.0,500,352.56648
500.0,500,354.419806
214.0,214,355.259613
12.0,12,355.261973
84.0,84,355.27353
88.0,88,356.36851
89.0,89,356.390827
86.0,86,356.414031
93.0,93,357.322423
273.0,273,358.258207
88.0,88,358.268607
91.0,91,358.285787
500.0,500,360.189887
61.0,61,361.118732
30.0,30,361.123662
336.0,336,362.246002
123.0,123,362.274509
219.0,219,363.255019
464.0,464,365.071929
11.0,11,365.074966
500.0,500,367.107124
126.0,126,368.029646
89.0,89,368.04291
86.0,86,368.055391
19.0,19,368.057455
417.0,417,370.091949
17.0,17,370.096142
11.0,11,370.098392
129.0,129,371.06465
26.0,26,371.069108
20.0,20,371.075095
30.0,30,371.083849
18.0,18,371.087256
26.0,26,371.095055
34.0,34,371.104272
11.0,11,371.106272
17.0,17,371.110272
107.0,107,372.146857
29.0,29,372.15064
107.0,107,372.161007
12.0,12,372.167129
366.0,366,374.071487
